filename,n_heavy_atoms,n_atoms,n_electrons,xyz,xyz_oxidized,u0_b3lyp,u0_g4mp2,zpe_b3lyp,electronic_oxidized_b3lyp,electronic_oxidized_wB97Xd,electronic_oxidized_b3lyp_large,electronic_neutral_b3lyp,electronic_neutral_wB97Xd,electronic_neutral_b3lyp_large,u0_oxidized_b3lyp,u0_oxidized_g4mp2,zpe_oxidized_b3lyp,u0_b3lyp_large,u0_wB97Xd,u0_oxidized_b3lyp_large,u0_oxidized_wB97Xd
dsgdb9nsd_000012,3,6,24,"6
H3 C1 N1 O1
N -0.025900 1.346146 0.008894
C 0.046467 -0.011743 0.001204
O 1.071835 -0.652588 -0.011133
H 0.825355 1.885049 0.003738
H -0.908377 1.826796 0.018920
H -0.961441 -0.475004 0.008074","6

N -1.071106 -0.155435 -0.000238
C 0.110145 0.37908 0.000287
O 1.212268 -0.241812 -3e-05
H -1.204461 -1.163553 0.000203
H -1.896139 0.435397 0.000672
H 0.239332 1.476216 -0.000694
",-169.860788,-169.694091,0.045279,-169.546605,-169.5349376,-169.5500097,-169.906067,-169.9053669,-169.921156,-169.501304,-169.3192146,0.045301,-169.875877,-169.8600879,-169.5047087,-169.4896366
dsgdb9nsd_000013,3,11,26,"11
H8 C3
C -0.031138 1.540816 0.031921
C 0.012153 0.010922 -0.016033
C 0.721691 -0.525834 -1.262306
H 0.979560 1.964591 0.030984
H -0.558402 1.948312 -0.838161
H -0.542523 1.901535 0.930057
H 0.515228 -0.368402 0.882311
H -1.010706 -0.384570 0.020518
H 1.758512 -0.173766 -1.308715
H 0.740872 -1.620250 -1.275165
H 0.220234 -0.190512 -2.177290","11

C 1.443608 -0.286501 0.000113
C -0.19444 0.672197 -0.000136
C -1.248476 -0.343845 -0.000183
H 1.36962 -0.851134 0.925733
H 1.370145 -0.851006 -0.925621
H 2.101131 0.581414 0.000484
H -0.019029 1.232793 0.919062
H -0.01806 1.231963 -0.919655
H -1.315139 -0.945926 0.909119
H -2.175901 0.294631 0.002683
H -1.316921 -0.943845 -0.910567
",-119.052475,-118.901097,0.103182,-118.766775,-118.748874,-118.7675442,-119.155657,-119.144936,-119.1597969,-118.670017,-118.5010878,0.096758,-119.0566149,-119.041754,-118.6707862,-118.652116
dsgdb9nsd_000014,3,9,26,"9
H6 C2 O1
C -0.008605 1.502038 -0.006812
C 0.010993 -0.017649 -0.013770
O 0.680888 -0.440418 -1.193132
H 1.011533 1.896620 -0.019202
H -0.531599 1.880761 -0.889747
H -0.516746 1.876118 0.887107
H 0.523771 -0.389123 0.888241
H -1.020275 -0.405073 0.016907
H 0.695296 -1.401796 -1.201485","9

C -1.30387 -0.250596 -0.003354
C 0.216678 0.599454 -0.028047
O 1.160089 -0.333376 0.126947
H -1.297685 -0.881121 -0.890372
H -1.320492 -0.792917 0.939019
H -1.987791 0.598738 -0.054851
H 0.205629 1.121907 -0.987283
H 0.118107 1.19491 0.88371
H 1.524669 -0.667651 -0.717395
",-154.972731,-154.814862,0.079754,-154.690001,-154.6762469,-154.6930545,-155.052485,-155.0507959,-155.0650551,-154.612722,-154.4333936,0.077279,-154.9853011,-154.9710419,-154.6157755,-154.5989679
dsgdb9nsd_000015,3,9,26,"9
H6 C2 O1
C -0.014821 1.392412 0.005671
O -0.004715 -0.013607 0.014597
C 0.637949 -0.553297 -1.113582
H 1.005284 1.810158 0.004656
H -0.546896 1.793435 -0.872511
H -0.530029 1.722920 0.911017
H 0.139938 -0.255993 -2.050984
H 1.692653 -0.238684 -1.174777
H 0.599594 -1.641802 -1.024076","9

C 1.226542 -0.186734 -4.3e-05
O -6.2e-05 0.497463 2.8e-05
C -1.226432 -0.186818 -3.6e-05
H 1.783644 0.200125 0.874298
H 1.112233 -1.270059 -0.000278
H 1.78389 0.200725 -0.873906
H -1.783948 0.200526 -0.873919
H -1.112154 -1.270135 3.4e-05
H -1.783831 0.200428 0.874024
",-154.960361,-154.795708,0.079534,-154.689764,-154.6724997,-154.6916893,-155.039895,-155.0325997,-155.049062,-154.613953,-154.4298567,0.075811,-154.969528,-154.9530657,-154.6158783,-154.5966887
dsgdb9nsd_000016,3,9,24,"9
H6 C3
C -0.011933 1.514332 0.010317
C 1.302991 0.778866 -0.006178
C 0.008672 0.007670 0.002010
H -0.305415 2.017021 0.925332
H -0.322755 2.026802 -0.893478
H 1.884934 0.791450 -0.921194
H 1.902266 0.781654 0.897664
H -0.270880 -0.512891 0.911375
H -0.288220 -0.503104 -0.907408","9

C 0.00064 -0.785716 0.000149
C -0.94072 0.358154 -3e-05
C 0.940284 0.358777 -0.000125
H 0.000524 -1.360312 0.926689
H 0.000611 -1.360978 -0.925893
H -1.304642 0.78199 -0.931411
H -1.303458 0.783536 0.931101
H 1.302708 0.78459 0.930943
H 1.303027 0.783881 -0.931396
",-117.824798,-117.674235,0.081231,-117.554706,-117.5380815,-117.555483,-117.906029,-117.8967608,-117.9109811,-117.477087,-117.3122541,0.077619,-117.8297501,-117.8155298,-117.477864,-117.4604625
dsgdb9nsd_000017,3,7,24,"7
H4 C2 O1
C 0.015377 1.417644 0.009563
C 1.264782 0.649240 -0.006550
O -0.000240 -0.007710 0.002041
H -0.317633 1.885866 0.934758
H -0.335276 1.895767 -0.903976
H 1.832467 0.562568 -0.931933
H 1.850083 0.552679 0.906801","7

C 0.732639 -0.404321 -0.000205
C -0.732639 -0.404321 -0.000205
O -0.0 0.866175 0.000344
H 1.304436 -0.52034 0.924886
H 1.305174 -0.518432 -0.925034
H -1.305174 -0.518432 -0.925034
H -1.304436 -0.52034 0.924886
",-153.742562,-153.579435,0.057289,-153.42393,-153.4083412,-153.4254967,-153.799851,-153.7944037,-153.8095457,-153.36996,-153.191673,0.05397,-153.7522567,-153.7371147,-153.3715267,-153.3543712
dsgdb9nsd_000018,4,10,32,"10
H6 C3 O1
C -0.003102 1.480503 -0.172599
C -0.045272 -0.028871 0.001395
C 1.297058 -0.721944 0.168890
O -1.086432 -0.642733 0.006304
H 0.594035 1.746686 -1.052250
H -1.015404 1.870340 -0.283823
H 0.480996 1.950706 0.690994
H 1.825121 -0.324707 1.043287
H 1.148925 -1.795977 0.285544
H 1.936826 -0.529497 -0.699954","10

C 1.329882 -0.591936 0.002003
C 0.0 0.153539 -0.0
C -1.329882 -0.591936 -0.002003
O 0.0 1.359567 0.0
H 1.372957 -1.136691 -0.94937
H 2.16672 0.097734 0.09947
H 1.291821 -1.308312 0.829787
H -1.372957 -1.136691 0.94937
H -2.16672 0.097734 -0.09947
H -1.291821 -1.308312 -0.829787
",-193.08834,-192.873716,0.083382,-192.830043,-192.8104261,-192.8330064,-193.171722,-193.1619558,-193.1832734,-192.748834,-192.5184767,0.081209,-193.0998914,-193.0785738,-192.7517974,-192.7292171
dsgdb9nsd_000019,4,9,32,"9
H5 C2 N1 O1
C 0.006799 1.499697 -0.025670
C -0.027404 -0.017521 -0.148948
N 1.178267 -0.633243 0.056917
O -1.037220 -0.639806 -0.407276
H 0.913903 1.929238 -0.461001
H -0.870809 1.911242 -0.523452
H -0.028261 1.785173 1.031491
H 1.984051 -0.131759 0.386749
H 1.190494 -1.639196 0.100062","9

C 1.308244 -0.507358 -1.6e-05
C -0.089788 0.081663 5.7e-05
N -1.182911 -0.631685 1e-05
O -0.08524 1.345771 -8e-06
H 1.411195 -1.114639 -0.906029
H 2.062808 0.281207 7.4e-05
H 1.411332 -1.114901 0.905817
H -1.133401 -1.642886 -5e-06
H -2.100377 -0.198985 -0.000118
",-209.159302,-208.942614,0.07319,-208.894084,-208.8784458,-208.898244,-209.232492,-209.2293545,-209.2484027,-208.821153,-208.5866729,0.072931,-209.1752127,-209.1561645,-208.825313,-208.8055148
dsgdb9nsd_000020,4,8,32,"8
H4 C1 N2 O1
N 0.036053 1.360779 -0.124164
C -0.025911 -0.020766 0.002006
N 1.219685 -0.623342 0.119632
O -1.068229 -0.641746 0.008656
H 0.807494 1.834551 0.321449
H -0.858258 1.803735 0.022438
H 1.999271 -0.173031 -0.336025
H 1.182043 -1.621479 -0.021092","8

N -1.048138 -0.751011 0.035331
C 0.049151 0.076232 0.027266
N 1.281756 -0.370324 0.012066
O -0.303129 1.287601 -0.035639
H -1.131037 -1.48462 -0.664843
H -1.91623 -0.352075 0.38401
H 1.488419 -1.345549 0.184985
H 2.053655 0.273384 -0.114406
",-225.221461,-225.003635,0.063824,-224.945986,-224.932606,-224.9523283,-225.285285,-225.2881678,-225.3044654,-224.883869,-224.6434698,0.062117,-225.2406414,-225.2243438,-224.8902113,-224.870489
dsgdb9nsd_000021,4,14,34,"14
H10 C4
C -0.032159 1.540216 0.010745
C 0.033817 0.007459 0.001807
C 0.713756 -0.508564 -1.272969
C 0.738490 -0.522209 1.257509
H 0.975227 1.974143 0.005284
H -0.561968 1.922323 -0.868354
H -0.548172 1.912684 0.902080
H -0.997525 -0.373106 0.009773
H 1.750700 -0.155868 -1.332696
H 0.734467 -1.603283 -1.299397
H 0.193670 -0.160856 -2.171955
H 0.236120 -0.183820 2.170053
H 0.759641 -1.617132 1.272261
H 1.776359 -0.169853 1.300530","14

C 1.65808 -0.000417 0.106449
C -0.21863 5.2e-05 -0.410929
C -0.726128 -1.287388 0.12248
C -0.725391 1.287783 0.122457
H 1.557778 -0.000537 1.188405
H 1.986224 -0.925508 -0.358328
H 1.986825 0.924543 -0.358089
H 0.045903 -6.4e-05 -1.473069
H -0.843542 -1.294914 1.20891
H -1.743522 -1.39641 -0.307859
H -0.166312 -2.159333 -0.221848
H -0.165176 2.159468 -0.221833
H -1.742781 1.39717 -0.307893
H -0.842985 1.295406 1.208863
",-158.342346,-158.14385,0.131146,-158.102422,-158.0828622,-158.1037664,-158.473492,-158.4617568,-158.4786564,-157.977093,-157.7598005,0.125329,-158.3475104,-158.3306108,-157.9784374,-157.9575332
dsgdb9nsd_000022,4,12,34,"12
H8 C3 O1
C -0.033159 1.547826 -0.004388
C -0.011085 0.018591 0.016761
C 0.709384 -0.535967 1.239784
O -1.332198 -0.517126 0.052361
H 0.982157 1.957159 -0.031822
H -0.563881 1.920876 -0.888459
H -0.540825 1.933409 0.885755
H 0.510421 -0.337672 -0.888192
H 0.222405 -0.187859 2.156502
H 0.682420 -1.628876 1.233051
H 1.754343 -0.212470 1.255242
H -1.818187 -0.155774 -0.695540","12

C -1.345221 -0.766049 -0.104329
C 0.130169 0.148959 0.391514
C 1.306921 -0.643818 -0.093319
O -0.017483 1.325193 -0.225968
H -1.187866 -1.693223 0.444228
H -2.182752 -0.167158 0.245451
H -1.25034 -0.835631 -1.184938
H -0.078093 0.166624 1.468598
H 1.378559 -0.636778 -1.183802
H 2.208016 -0.155692 0.30726
H 1.276195 -1.667819 0.279459
H -0.575067 1.95358 0.268286
",-194.267232,-194.060729,0.107673,-194.024716,-194.0089165,-194.0287811,-194.374905,-194.3710417,-194.3878633,-193.919897,-193.6908665,0.104819,-194.2801903,-194.2633687,-193.9239621,-193.9040975
dsgdb9nsd_000025,4,4,26,"4
C2 N2
N 0.017457 -1.161342 -0.004153
C 0.002532 -0.003443 0.001799
C -0.016114 1.372210 0.009349
N -0.032643 2.530083 0.016091","4

N 1.86438 -0.000437 0.0
C 0.672106 0.00051 0.0
C -0.672106 0.00051 -0.0
N -1.86438 -0.000437 0.0
",-185.648533,-185.438463,0.015951,-185.191882,-185.1570966,-185.1940343,-185.664484,-185.6406559,-185.6723022,-185.177401,-184.9447082,0.014481,-185.6563512,-185.6247049,-185.1795533,-185.1426156
dsgdb9nsd_000026,4,6,28,"6
H2 C3 O1
O -0.067761 -0.042338 0.002825
C -0.005629 1.163829 0.007439
C 1.229853 1.913400 0.000288
C 2.236253 2.574310 -0.005293
H -0.916707 1.794675 0.017814
H 3.134297 3.143703 -0.010377","6

O -1.586655 -0.432512 0.0
C -0.68911 0.424518 0.0
C 0.657682 0.107796 0.0
C 1.842054 -0.141401 0.0
H -1.063646 1.471407 -0.0
H 2.893132 -0.356792 -0.0
",-190.624631,-190.409857,0.037208,-190.286114,-190.2562799,-190.2898467,-190.661839,-190.6442283,-190.6749479,-190.250916,-190.0163818,0.035198,-190.6377399,-190.6070203,-190.2546487,-190.2210819
dsgdb9nsd_000027,4,5,28,"5
H1 C2 N1 O1
O -0.040560 -0.037991 0.002665
C -0.017689 1.161933 0.007460
C 1.233155 1.933813 0.000434
N 2.198574 2.570551 -0.004833
H -0.926275 1.789592 0.017649","5

O -1.559139 -0.400621 -0.0
C -0.650055 0.417579 -0.0
C 0.721257 0.067005 0.0
N 1.85914 -0.170298 -0.0
H -0.968078 1.489556 -0.0
",-206.721858,-206.504291,0.02654,-206.325741,-206.2996342,-206.3291386,-206.748398,-206.733134,-206.7602923,-206.301471,-206.0661083,0.02427,-206.7337523,-206.706594,-206.3048686,-206.2753642
dsgdb9nsd_000028,4,6,30,"6
H2 C2 O2
O 0.003371 -0.031466 0.001572
C -0.017132 1.170814 0.006764
C 1.265558 1.997194 -0.000077
O 1.245071 3.199466 0.006813
H -0.946905 1.776781 0.018527
H 2.195344 1.391214 -0.010067","6

O -1.753973 -0.218 -0.000112
C -0.801195 0.439292 0.00011
C 0.801195 -0.439292 0.00011
O 1.753973 0.218 -0.000112
H -0.619567 1.52877 0.000239
H 0.619568 -1.52877 0.000239
",-227.798785,-227.571962,0.036943,-227.47659,-227.4566435,-227.4827467,-227.835728,-227.8270619,-227.8519478,-227.442508,-227.2004093,0.034082,-227.8150048,-227.7901189,-227.4486647,-227.4225615
dsgdb9nsd_000029,4,10,30,"10
H6 C4
C -0.017880 1.466769 0.010112
C 0.001866 0.010729 0.002111
C 0.018197 -1.192729 -0.004507
C 0.037952 -2.648768 -0.012512
H 0.864603 1.875900 0.514797
H -0.032176 1.872106 -1.007910
H -0.902331 1.851855 0.530040
H -0.834770 -3.063390 0.504514
H 0.032764 -3.043156 -1.034912
H 0.932135 -3.039316 0.486266","10

C -2.04648 -5.4e-05 0.003256
C -0.623567 -0.000194 0.023592
C 0.623567 -0.000124 0.023631
C 2.046478 2.4e-05 0.003278
H -2.46346 -0.911421 0.447495
H -2.462943 0.908576 0.45378
H -2.357658 0.004225 -1.062416
H 2.35752 0.001978 -1.062471
H 2.463131 0.909387 0.45206
H 2.463419 -0.910661 0.449012
",-155.908941,-155.705814,0.083896,-155.659951,-155.631153,-155.6615916,-155.992837,-155.9733555,-156.0005107,-155.580492,-155.3549867,0.079459,-155.9166147,-155.8894595,-155.5821326,-155.551694
dsgdb9nsd_000031,4,9,30,"9
H5 C3 N1
C -0.025220 1.547731 0.021334
C 0.011839 0.009993 -0.015567
C 0.689151 -0.508368 -1.203315
N 1.225657 -0.903608 -2.147375
H 0.985716 1.962130 0.023702
H -0.555222 1.945997 -0.847118
H -0.539626 1.882944 0.925366
H 0.524819 -0.382260 0.869334
H -1.004535 -0.398321 0.005301","9

C -1.621405 -0.396881 0.006179
C -0.454285 0.564828 -0.011004
C 0.867479 0.075983 -0.013209
N 1.9977 -0.310207 0.004062
H -1.690123 -0.914286 -0.967887
H -1.505151 -1.184709 0.759662
H -2.548766 0.153047 0.169278
H -0.519404 1.38828 -0.767823
H -0.471192 1.265538 0.886537
",-172.006141,-171.802743,0.07419,-171.663562,-171.6364084,-171.6656356,-172.080331,-172.0649549,-172.0882093,-171.596887,-171.3682604,0.066675,-172.0140193,-171.9907649,-171.5989606,-171.5697334
dsgdb9nsd_000032,4,8,30,"8
H4 C2 N2
N -0.036081 1.487625 0.036781
C -0.010395 0.025176 -0.015066
C -1.371810 -0.521089 0.027393
N -2.440267 -0.959564 0.033705
H 0.917298 1.835475 0.052027
H -0.471622 1.856772 -0.802756
H 0.489462 -0.408804 -0.897152
H 0.528272 -0.345333 0.864695","8

N 1.498079 -0.437399 2.4e-05
C 0.512532 0.585425 6.6e-05
C -0.853112 0.104012 0.000314
N -1.943362 -0.280112 -0.000316
H 2.49135 -0.195986 -0.001916
H 1.249362 -1.429793 0.001344
H 0.709708 1.255953 0.866687
H 0.71004 1.255775 -0.866352
",-188.042067,-187.838616,0.063305,-187.755064,-187.734919,-187.7588827,-188.105372,-188.0959621,-188.1174456,-187.694868,-187.4759575,0.060196,-188.0541406,-188.0326571,-187.6986867,-187.674723
dsgdb9nsd_000033,4,8,30,"8
H4 C3 O1
O -0.020132 1.457381 0.010102
C 0.001685 0.035800 0.002247
C -1.363667 -0.474811 0.012551
C -2.479028 -0.919702 0.020825
H 0.894469 1.757366 0.003274
H 0.519790 -0.351754 -0.889803
H 0.536705 -0.361277 0.880009
H -3.467735 -1.307370 0.028181","8

O 1.50409 -0.521647 0.0
C 0.588955 0.497545 -0.0
C -0.77381 0.088105 -1e-06
C -1.966395 -0.189861 0.0
H 2.411675 -0.173256 -1e-06
H 0.735826 1.2068 0.858092
H 0.73583 1.206805 -0.858086
H -3.008548 -0.441906 1e-06
",-191.810916,-191.604404,0.060632,-191.520707,-191.4947941,-191.526827,-191.871548,-191.8624397,-191.8877581,-191.463139,-191.2245658,0.057568,-191.8271261,-191.8018077,-191.469259,-191.4372261
dsgdb9nsd_000034,4,7,30,"7
H3 C2 N1 O1
O -0.037382 1.445478 0.010108
C 0.012929 0.034417 0.002092
C -1.357475 -0.488745 0.012397
N -2.421353 -0.936852 0.020161
H 0.868981 1.769729 0.004176
H 0.516927 -0.363298 -0.892158
H 0.533876 -0.372787 0.882239","7

O 1.462824 -0.499498 3.5e-05
C 0.535741 0.499575 -4e-06
C -0.827203 0.055541 1.2e-05
N -1.961772 -0.231287 -2.4e-05
H 2.379668 -0.153953 -0.000304
H 0.699433 1.219055 0.852949
H 0.699487 1.219197 -0.852801
",-207.916786,-207.706071,0.050262,-207.565868,-207.5412021,-207.5707544,-207.967048,-207.9598212,-207.9820059,-207.519719,-207.2803465,0.046149,-207.9317439,-207.9095592,-207.5246054,-207.4950531
dsgdb9nsd_000035,4,10,32,"10
H6 C3 O1
C 0.168793 1.525130 -0.157471
C -0.187376 0.061948 0.146794
C 0.509176 -0.439962 1.391258
O 1.181911 -1.435656 1.458164
H 1.231265 1.631373 -0.396327
H -0.407447 1.894317 -1.009692
H -0.049310 2.172663 0.698574
H -1.269052 -0.016681 0.328544
H 0.062791 -0.602505 -0.684740
H 0.353848 0.206634 2.288711","10

C 1.647225 -0.335439 -0.166863
C 0.502842 0.635507 0.116232
C -0.804717 -0.194955 0.360966
O -1.757077 -0.076374 -0.339225
H 1.506524 -0.891461 -1.096774
H 2.535456 0.30078 -0.301065
H 1.835764 -1.023521 0.65949
H 0.611286 1.168167 1.072594
H 0.297677 1.336804 -0.693294
H -0.80219 -0.910454 1.210837
",-193.075202,-192.861248,0.084175,-192.807957,-192.7876465,-192.811324,-193.159377,-193.1494057,-193.1709412,-192.72672,-192.496435,0.081237,-193.0867662,-193.0652307,-192.730087,-192.7064095
dsgdb9nsd_000036,4,9,32,"9
H5 C2 N1 O1
C 0.014749 1.478883 -0.035093
N 0.187081 0.038313 -0.029069
C 0.457037 -0.668589 1.100690
O 0.584580 -0.198762 2.211197
H 0.760253 1.967361 -0.671981
H -0.984624 1.759845 -0.384851
H 0.142698 1.823877 0.991494
H 0.103863 -0.469377 -0.894614
H 0.550476 -1.752535 0.888682","9

C -1.428451 -0.430237 0.008107
N -0.47484 0.639363 0.023351
C 0.90956 0.446499 0.012659
O 1.348903 -0.684193 -0.010268
H -2.2985 -0.125404 0.60344
H -1.795865 -0.580708 -1.025179
H -0.95622 -1.350823 0.353593
H -0.814282 1.594174 -0.120853
H 1.510876 1.363194 -0.01691
",-209.144909,-208.924948,0.074166,-208.871296,-208.8528049,-208.8757472,-209.219075,-209.21251,-209.2330828,-208.800556,-208.5653384,0.07074,-209.1589168,-209.138344,-208.8050072,-208.7820649
dsgdb9nsd_000037,4,8,32,"8
H4 C2 O2
C 0.106538 1.435120 0.033361
O 0.426866 0.047169 0.093099
C 0.507149 -0.636527 -1.063183
O 0.769270 -1.799550 -1.110105
H 0.923493 2.003851 0.484657
H -0.037578 1.769272 -1.000574
H -0.812696 1.608019 0.598733
H 0.304585 -0.002319 -1.949656","8

C -1.736287 0.097846 4.1e-05
O -0.346308 -0.445971 -3.9e-05
C 0.653888 0.308608 -4e-05
O 1.84406 -0.108207 4.4e-05
H -2.193568 -0.305058 0.901953
H -1.702993 1.187585 8e-05
H -2.19343 -0.304992 -0.902008
H 0.602356 1.417171 -7.1e-05
",-229.013797,-228.784208,0.061327,-228.697422,-228.6798393,-228.7015061,-229.075124,-229.0674758,-229.0890034,-228.637597,-228.3941881,0.059825,-229.0276764,-229.0061488,-228.6416811,-228.6200143
